Subject,Mean_r,Median_r,Q25_r,Q75_r,Minimum_r,SD_r,N_valid,IQR_r
16,0.9925593,0.99296296,0.9914790987968445,0.9929953217506409,0.9913415,0.0010129493,5,0.991 - 0.993
17,0.9932767,0.9930925,0.9925734996795654,0.9940621852874756,0.9917242,0.001121903,5,0.993 - 0.994
18,0.9947376,0.9944973,0.9940551519393921,0.9948574304580688,0.99401075,0.0008254162,5,0.994 - 0.995
19,0.99371636,0.99383974,0.9929413199424744,0.9938993453979492,0.9924577,0.0010214644,5,0.993 - 0.994
20,0.9916671,0.9919525,0.991480827331543,0.9921004772186279,0.99048084,0.00065395766,5,0.991 - 0.992
21,0.98040247,0.97847176,0.9784038066864014,0.9846100211143494,0.9729792,0.0051299133,5,0.978 - 0.985
22,0.9947621,0.99461406,0.9943444132804871,0.9954138398170471,0.9938029,0.00067882845,5,0.994 - 0.995
23,0.99163723,0.992026,0.9913244843482971,0.9921255111694336,0.9902757,0.0007715596,5,0.991 - 0.992
24,0.99210835,0.99228245,0.9920197129249573,0.9922974109649658,0.9911853,0.0005188745,5,0.992 - 0.992
25,0.9918933,0.991983,0.9919403791427612,0.9920371174812317,0.9913347,0.00028987924,5,0.992 - 0.992
26,0.9906691,0.9909142,0.9899054765701294,0.991022527217865,0.9899035,0.00066635024,5,0.99 - 0.991
27,0.98555356,0.98411185,0.9839448928833008,0.9848465919494629,0.9833685,0.0030085081,5,0.984 - 0.985
28,0.99304485,0.9938481,0.9925276041030884,0.9939356446266174,0.99060726,0.0013592241,5,0.993 - 0.994
29,0.9928215,0.9927457,0.9926958084106445,0.9932619333267212,0.9921252,0.00042651495,5,0.993 - 0.993
30,0.9916016,0.9925187,0.9921579360961914,0.9938583374023438,0.98549813,0.0031345882,5,0.992 - 0.994
31,0.9943843,0.9951943,0.9943081140518188,0.9954094886779785,0.9912692,0.0016282713,5,0.994 - 0.995
32,0.9910361,0.9907295,0.9900093674659729,0.9921138882637024,0.989415,0.001300814,5,0.99 - 0.992
33,0.9928409,0.99286115,0.9916322827339172,0.9933224320411682,0.99159986,0.0011854124,5,0.992 - 0.993
34,0.9945396,0.994709,0.9941132068634033,0.994875967502594,0.9939562,0.00042855422,5,0.994 - 0.995
35,0.99214906,0.9926563,0.9909825325012207,0.992705225944519,0.9908796,0.001041477,5,0.991 - 0.993
36,0.99473333,0.99447316,0.9943621158599854,0.9953811168670654,0.9938683,0.0006471205,5,0.994 - 0.995
37,0.99356425,0.99382323,0.9932609796524048,0.994198203086853,0.9921342,0.0008139234,5,0.993 - 0.994
38,0.9918119,0.99216765,0.9919103384017944,0.9924758076667786,0.9886589,0.0017122141,5,0.992 - 0.992
39,0.99293643,0.99275994,0.992648184299469,0.993315577507019,0.99207103,0.0006181417,5,0.993 - 0.993
40,0.993116,0.9934081,0.9928578734397888,0.993513286113739,0.99163187,0.00085104187,5,0.993 - 0.994
41,0.9903301,0.9898845,0.9879403710365295,0.9933453798294067,0.98701215,0.0026779391,5,0.988 - 0.993
42,0.9948691,0.9945549,0.9945452213287354,0.994686484336853,0.9942702,0.00072258286,5,0.995 - 0.995
43,0.9922059,0.9922701,0.9919568300247192,0.9923862814903259,0.9917282,0.0003344629,5,0.992 - 0.992
44,0.99273074,0.99287957,0.9926300048828125,0.9931581020355225,0.9917826,0.0005171552,5,0.993 - 0.993
45,0.9940829,0.99408406,0.9935696721076965,0.9944102764129639,0.9931508,0.0007052342,5,0.994 - 0.994
46,0.99247825,0.99260736,0.9918601512908936,0.9931067228317261,0.99159896,0.00065029634,5,0.992 - 0.993
47,0.99269164,0.9923778,0.9923136830329895,0.9931624531745911,0.99227965,0.00045460928,5,0.992 - 0.993
48,0.9932311,0.9928872,0.9922328591346741,0.9945264458656311,0.99180245,0.0011842105,5,0.992 - 0.995
49,0.99285996,0.9926991,0.9926155209541321,0.9929428696632385,0.9920647,0.0006283396,5,0.993 - 0.993
50,0.9937021,0.9938836,0.9929268956184387,0.9943122863769531,0.992531,0.0008614258,5,0.993 - 0.994
51,0.99073154,0.9906563,0.9902514219284058,0.9914910793304443,0.9894725,0.0008379893,5,0.99 - 0.991
52,0.99497783,0.99459,0.9941943287849426,0.9960612058639526,0.9937115,0.0010368931,5,0.994 - 0.996
53,0.9912381,0.9904815,0.9900315403938293,0.9918930530548096,0.9898638,0.0015192657,5,0.99 - 0.992
54,0.9933797,0.99319863,0.992994487285614,0.9936468005180359,0.99265236,0.0006057934,5,0.993 - 0.994
55,0.9924545,0.99268115,0.9917647838592529,0.9931365847587585,0.9907897,0.001082051,5,0.992 - 0.993
56,0.9936603,0.99408484,0.9931659698486328,0.9945747256278992,0.99156135,0.0012032575,5,0.993 - 0.995
57,0.99387485,0.99327725,0.9930924773216248,0.9949020147323608,0.9929937,0.0009299493,5,0.993 - 0.995
58,0.9909943,0.99029267,0.9897975325584412,0.9925286769866943,0.9888902,0.0017202941,5,0.99 - 0.993
59,0.9859028,0.9870803,0.9835935831069946,0.987236738204956,0.9818703,0.0028081432,5,0.984 - 0.987
60,0.99025404,0.99073154,0.9904135465621948,0.9910584092140198,0.9871648,0.001622346,5,0.99 - 0.991
61,0.9942878,0.9946748,0.9934819340705872,0.9947699904441833,0.9933942,0.0007098026,5,0.993 - 0.995
62,0.99308014,0.99324685,0.9922014474868774,0.9939253330230713,0.9915223,0.0010928344,5,0.992 - 0.994
63,0.99212015,0.99211687,0.9919639825820923,0.9927421808242798,0.9907628,0.00078162656,5,0.992 - 0.993
64,0.99296683,0.993167,0.9928423762321472,0.9932023286819458,0.9923054,0.00036644752,5,0.993 - 0.993
65,0.9927741,0.9929406,0.9925360083580017,0.9930896162986755,0.9921438,0.00038219994,5,0.993 - 0.993
66,0.9925168,0.992676,0.991946280002594,0.9932162761688232,0.9914647,0.0007114901,5,0.992 - 0.993
67,0.9920009,0.99190676,0.9916442632675171,0.9925442337989807,0.99042434,0.0010118242,5,0.992 - 0.993
68,0.9924051,0.992601,0.9919290542602539,0.9930961728096008,0.9910985,0.0008064849,5,0.992 - 0.993
69,0.9916123,0.9924655,0.9900816082954407,0.9938889741897583,0.9865702,0.003017653,5,0.99 - 0.994
70,0.99157447,0.9915455,0.9911147952079773,0.9922692179679871,0.9904015,0.0007752397,5,0.991 - 0.992
71,0.99316424,0.99334806,0.9921785593032837,0.9948604702949524,0.9902634,0.0018068659,5,0.992 - 0.995
72,0.99021596,0.9900109,0.9898104667663574,0.9909547567367554,0.988953,0.0008526622,5,0.99 - 0.991
73,0.9907036,0.99070084,0.9905189275741577,0.9912070035934448,0.9893528,0.000797828,5,0.991 - 0.991
74,0.99350816,0.99324805,0.9931718111038208,0.9935106635093689,0.9928615,0.000653922,5,0.993 - 0.994
75,0.9929449,0.99270254,0.9926766157150269,0.9928828477859497,0.99234015,0.00061429024,5,0.993 - 0.993
76,0.9911364,0.9903724,0.9902445077896118,0.992175817489624,0.9894034,0.0014820745,5,0.99 - 0.992
77,0.9931623,0.9930564,0.99281907081604,0.9935489892959595,0.99242526,0.0005404825,5,0.993 - 0.994
78,0.99505407,0.99556315,0.9944754242897034,0.9960224628448486,0.9931461,0.001112717,5,0.994 - 0.996
79,0.99468154,0.99441016,0.9943106770515442,0.9951593279838562,0.99418944,0.00047175345,5,0.994 - 0.995
80,0.9902524,0.98973995,0.9895169138908386,0.9902697801589966,0.9890872,0.0012570807,5,0.99 - 0.99
81,0.9921053,0.99147296,0.9913195371627808,0.9921354055404663,0.9905962,0.0015289938,5,0.991 - 0.992
82,0.9951105,0.99514145,0.995099663734436,0.9953142404556274,0.99411803,0.00056898256,5,0.995 - 0.995
83,0.99235153,0.99218065,0.9919917583465576,0.9928936958312988,0.99129194,0.0007312222,5,0.992 - 0.993
84,0.9885763,0.9891424,0.9876433610916138,0.9894979000091553,0.98639184,0.0013761377,5,0.988 - 0.989
85,0.99509704,0.9951256,0.9947859048843384,0.9959638714790344,0.9931692,0.0011288822,5,0.995 - 0.996
86,0.9924512,0.99252933,0.9923171401023865,0.9928355813026428,0.9917313,0.00041069547,5,0.992 - 0.993
87,0.99326354,0.9932306,0.9927317500114441,0.9936439394950867,0.9926521,0.00053581904,5,0.993 - 0.994
88,0.9946493,0.9944548,0.9943122267723083,0.9946242570877075,0.99413264,0.000560553,5,0.994 - 0.995
89,0.99119806,0.9915369,0.9904252886772156,0.9917492270469666,0.9899519,0.00087669736,5,0.99 - 0.992
90,0.9922384,0.99225754,0.9914922714233398,0.9927582740783691,0.99137986,0.0007349642,5,0.991 - 0.993
91,0.9936737,0.99416703,0.99269038438797,0.9942916035652161,0.99233407,0.0009854841,5,0.993 - 0.994
